Amine,Concentration (m),Temperature (K),CO2​ Loading (mol/mol_alk),PCO2∗​ (Pa),Target -> kg′​ (mol/s·Pa·m²),Source
MEA/PZ,7m/2m,333.15,0.242,178,4.00E-06,Dugas 2009
MEA/PZ,7m/2m,333.15,0.333,1256,2.03E-06,Dugas 2009
MEA/PZ,7m/2m,333.15,0.416,7122,9.08E-07,Dugas 2009
MEA/PZ,7m/2m,333.15,0.477,33704,3.75E-07,Dugas 2009
MEA/PZ,7m/2m,353.15,0.242,1138,4.29E-06,Dugas 2009
MEA/PZ,7m/2m,353.15,0.333,6174,2.12E-06,Dugas 2009
MEA/PZ,7m/2m,373.15,0.242,4340,4.83E-06,Dugas 2009
MEA/PZ,7m/2m,373.15,0.333,26571,1.23E-06,Dugas 2009
DGA,10,313.15,0.307,20,3.07E-06,Chen 2011
DGA,10,313.15,0.399,390,9.70E-07,Chen 2011
DGA,10,313.15,0.453,1510,4.60E-07,Chen 2011
DGA,10,313.15,0.491,5790,2.00E-07,Chen 2011
DGA,10,333.15,0.212,150,3.71E-06,Chen 2011
DGA,10,333.15,0.307,630,2.28E-06,Chen 2011
DGA,10,333.15,0.399,2670,9.80E-07,Chen 2011
DGA,10,333.15,0.453,8870,4.90E-07,Chen 2011
DGA,10,333.15,0.491,26900,1.70E-07,Chen 2011
DGA,10,353.15,0.212,1420,3.14E-06,Chen 2011
DGA,10,353.15,0.307,4360,1.74E-06,Chen 2011
DGA,10,353.15,0.399,16300,7.70E-07,Chen 2011
DGA,10,353.15,0.453,50100,2.40E-07,Chen 2011
DGA,10,373.15,0.212,6250,2.45E-06,Chen 2011
DGA,10,373.15,0.307,18000,1.40E-06,Chen 2011
EDA,12,313.15,0.362,280,2.06E-06,Chen 2011
EDA,12,313.15,0.429,1900,2.60E-06,Chen 2011
EDA,12,313.15,0.486,40310,1.03E-06,Chen 2011
EDA,12,333.15,0.219,93,-,Chen 2011
EDA,12,333.15,0.29,270,1.12E-05,Chen 2011
EDA,12,333.15,0.367,2030,2.04E-06,Chen 2011
EDA,12,333.15,0.429,18160,7.60E-07,Chen 2011
EDA,12,333.15,0.491,237560,1.40E-07,Chen 2011
EDA,12,353.15,0.22,490,5.61E-06,Chen 2011
EDA,12,353.15,0.292,2420,5.61E-06,Chen 2011
EDA,12,353.15,0.353,15220,1.67E-06,Chen 2011
EDA,12,353.15,0.43,96210,7.70E-07,Chen 2011
EDA,12,373.15,0.219,2200,-,Chen 2011
EDA,12,373.15,0.288,16430,5.00E-06,Chen 2011
EDA,12,373.15,0.351,71280,1.99E-06,Chen 2011
EDA,12,373.15,0.432,416210,5.20E-07,Chen 2011
AMP,4.8,313.15,0.15,140,7.00E-07,Chen 2011
AMP,4.8,313.15,0.285,520,4.80E-07,Chen 2011
AMP,4.8,313.15,0.449,2080,2.30E-07,Chen 2011
AMP,4.8,313.15,0.561,5410,1.70E-07,Chen 2011
AMP,4.8,333.15,0.15,980,7.90E-07,Chen 2011
